,year,countyName,countyCode,candidate,party,candidatevotes,totalvotes
0,2000,Accomack,51001,Al Gore,Democrat,5092,11925
1,2000,Accomack,51001,George W. Bush,Republican,6352,11925
2,2000,Accomack,51001,Ralph Nader,Green,220,11925
3,2000,Accomack,51001,Other,Other,261,11925
4,2000,Albemarle,51003,Al Gore,Democrat,16255,36846
5,2000,Albemarle,51003,George W. Bush,Republican,18291,36846
6,2000,Albemarle,51003,Ralph Nader,Green,2043,36846
7,2000,Albemarle,51003,Other,Other,257,36846
8,2000,Alleghany,51005,Al Gore,Democrat,2214,5123
9,2000,Alleghany,51005,George W. Bush,Republican,2808,5123
10,2000,Alleghany,51005,Ralph Nader,Green,62,5123
11,2000,Alleghany,51005,Other,Other,39,5123
12,2000,Amelia,51007,Al Gore,Democrat,1754,4788
13,2000,Amelia,51007,George W. Bush,Republican,2947,4788
14,2000,Amelia,51007,Ralph Nader,Green,40,4788
15,2000,Amelia,51007,Other,Other,47,4788
16,2000,Amherst,51009,Al Gore,Democrat,4812,11712
17,2000,Amherst,51009,George W. Bush,Republican,6660,11712
18,2000,Amherst,51009,Ralph Nader,Green,135,11712
19,2000,Amherst,51009,Other,Other,105,11712
20,2000,Appomattox,51011,Al Gore,Democrat,2132,5927
21,2000,Appomattox,51011,George W. Bush,Republican,3654,5927
22,2000,Appomattox,51011,Ralph Nader,Green,62,5927
23,2000,Appomattox,51011,Other,Other,79,5927
24,2000,Arlington,51013,Al Gore,Democrat,50260,83559
25,2000,Arlington,51013,George W. Bush,Republican,28555,83559
26,2000,Arlington,51013,Ralph Nader,Green,3952,83559
27,2000,Arlington,51013,Other,Other,792,83559
28,2000,Augusta,51015,Al Gore,Democrat,6643,25271
29,2000,Augusta,51015,George W. Bush,Republican,17744,25271
30,2000,Augusta,51015,Ralph Nader,Green,527,25271
31,2000,Augusta,51015,Other,Other,357,25271
32,2000,Bath,51017,Al Gore,Democrat,822,2210
33,2000,Bath,51017,George W. Bush,Republican,1311,2210
